,Filename,Mean_word_length_(syllables),Mean_word_length_(phonemes),No._Intervocalic_clusters,Mean cluster length (phonemes)
0,vietnamese_mfa.dict,1,5.968879096667584,171,2.458689066
1,english_uk_mfa.dict,2.412680627463102,7.5740476006490995,2408,1.7080687881825454
2,spanish_spain_mfa.dict,3.4550723397884875,9.355229530459702,763,1.6314248485373324
3,spanish_latin_america_mfa.dict,3.3817728164983563,9.152271599,938,1.6141495125753476
4,hausa_mfa.dict,2.658255136,10.257798630484404,819,2.0615447206019106
5,thai_mfa.dict,2.6516922245490777,14.23193496813709,2920,3.0167087148465312
6,maltese_cv.dict,2.789877551020408,8.173387755102041,801,1.7199163212485649
7,polish_mfa.dict,3.2414224525881052,10.255580592241747,1957,2.0011494717608023
8,mandarin_china_mfa.dict,2.120331898743597,11.529264390340705,4288,3.0944253386578966
9,english_nonnative_mfa.dict,2.311480652382475,7.0934965258598135,2689,1.6329457332119615
10,hindi_cv.dict,2.3554135541355414,7.271712717127171,1247,1.6386352364945018
11,sorbian_upper_cv.dict,2.9799437016185784,7.978008444757213,505,1.5466836485312643
12,greek_cv.dict,3.1497753369945083,7.9880179730404395,139,1.4621596324255102
13,english_mfa.dict,2.3860593610540484,7.287407617,3153,1.637431374931375
14,vietnamese_hue_mfa.dict,1,6.021574111,126,2.496504194966041
15,english_nigeria_mfa.dict,2.325988023952096,7.017664670658682,979,1.6194872949179673
16,vietnamese_ho_chi_minh_city_mfa.dict,1.0019361084220717,5.942884801548887,122,2.494595031
17,indonesian_cv.dict,2.7446737237036043,7.286278976282996,712,1.3572923917231279
18,arabic_mfa.dict,2.4554608830364058,7.036194634180691,663,1.5111628624409414
19,ukrainian_mfa.dict,3.208559416436092,9.652287182,1267,1.899573028111336
20,turkish_mfa.dict,3.577166337670709,10.306510091447448,754,1.7833111517667837
21,portuguese_portugal_mfa.dict,3.3303053897395967,8.257732070248291,1448,1.3961829522843472
22,italian_cv.dict,3.314562555138538,8.383480120220703,939,1.4747099810544768
23,mandarin_mfa.dict,2.16725303,12.449082162602016,4395,3.171728742430942
24,japanese_mfa.dict,4.035131117,9.774972295376314,968,1.3151937114740657
25,french_mfa.dict,2.4960714419021315,6.3186029802838455,1778,1.3452795343511892
26,swedish_mfa.dict,3.223017446471055,13.539333862014274,3847,2.716935894596513
27,english_us_mfa.dict,2.2929527490913286,7.640844055,5567,1.8514951130091584
28,belarusian_cv.dict,3.6512442316815457,10.194816060723682,1196,1.701750058886015
29,korean_mfa.dict,2.313246703793612,7.270455519063258,530,1.7943909841390997
30,english_india_mfa.dict,2.3711753415377665,7.209495314440556,1552,1.6197682129003448
31,romanian_cv.dict,3.2691665934837975,11.071397207341706,262,2.2762011927102535
32,croatian_mfa.dict,3.437221799582396,12.631844741910944,2774,2.6032331941540594
33,czech_mfa.dict,3.289811724247547,9.154623087,1662,1.6165383482622395
34,mandarin_erhua_mfa.dict,2.0662645954426213,11.85079214,3402,3.1110742722391427
35,tatar_cv.dict,3.142176330420969,7.669932045,603,1.307563980474761
36,bashkir_cv.dict,3.498277805281397,8.818753489155966,1319,1.3623828430919276
37,punjabi_cv.dict,2.0476780185758514,5.947368421052632,384,1.5568043050812377
38,abkhaz_cv.dict,2.557765667574932,9.037874659400545,1365,2.3669170883612303
39,german_mfa.dict,3.3082467073394257,10.359980100023567,5128,1.8149944534245288
40,georgian_cv.dict,3.3565477126238012,9.563983650369439,1041,1.6717905213601307
41,mandarin_pinyin.dict,0.9750374438342486,3.2940589116325514,32,1.2724191866527632
42,urdu_cv.dict,1.9649122807017543,6.921052631578948,572,1.8116614420062696
43,portuguese_mfa.dict,3.3112787554030207,8.256269123,1758,1.4022473930808277
44,mandarin_taiwan_mfa.dict,1.842379655911487,10.13091583154724,2058,3.0170359060087946
45,guarani_cv.dict,3.5127041742286753,8.382940108892923,142,1.3926238860724758
46,armenian_cv.dict,3.1496494971045412,8.927156354769886,604,1.6344675875439234
47,chuvash_cv.dict,3.128886453910423,7.817833173537871,394,1.3936624266144815
48,portuguese_brazil_mfa.dict,3.1759020987018927,8.024961399897066,751,1.4145829898033486
49,vietnamese_hanoi_mfa.dict,1.0014771048744462,6.026587887740029,126,2.478581979320532
50,dutch_cv.dict,3.270856091531076,10.384033806703846,1998,1.7584466743791605
51,russian_mfa.dict,3.7879846329914186,11.655841973375765,1981,1.9435575268555465
52,swahili_mfa.dict,3.8574559645043167,8.539063961724533,622,1.2071309099397334
53,spanish_mfa.dict,3.5802926447744334,9.169708227421843,915,1.4686413312562645
54,basque_cv.dict,3.6451542011574243,10.47168705589334,245,1.674692091889731
55,serbocroatian_mfa.dict,3.2847272829194463,10.816441504568642,2425,2.2168706332408448
56,kyrgyz_cv.dict,3.1396427344555136,8.553933356234971,558,1.5494291690715658
57,bulgarian_mfa.dict,3.226214321482223,10.071982974461692,582,2.0611122294891944
58,hungarian_cv.dict,3.3012398366506015,9.353519002244214,1308,1.5559602758826963
59,uyghur_cv.dict,3.230531028999456,8.053019207431895,517,1.3798104613859385
60,tamil_mfa.dict,2.860540104796453,8.049173720274084,215,1.5027788996589482
61,uzbek_cv.dict,2.946094609460946,7.832783278327833,231,1.5204295154185021
62,kurmanji_cv.dict,2.7927384158231963,7.907698022100473,582,1.4250802133120906
63,kazakh_cv.dict,2.518078020932445,6.528544243577545,254,1.4052118039029033